,date,month,quarter,half,year,vehicle,Reflown,Dragon,Reflown,launchpad,Orbit,Payload,Customer
2018 Feb 16,,February,,,2018,Falcon 9,Yes,,,LC-4E,SSO,"Paz / Starlink prototype satellites (Microsat-2a, Microsat-2b)",Hisdesat (Spain) / SpaceX Starlink Constellation
2018 Feb 22,22,February,,,2018,Falcon 9,,,,SLC-40,GTO,Hispasat 30W-6,Hispasat (Spain)
2018 Mar 18,18,March,,,2018,Falcon 9,Yes,,,LC-4E,PO,Iridium 5 (10 Satellites),Iridium Communications
2018 Mar 20,20,March,,,2018,Falcon 9,,,,LC-39A,HEO,Transiting Exoplanet Survey Satellite,NASA
2018 Mar,,March,,,2018,Falcon 9,,,,SLC-40,GTO,Bangabandhu-1,Bangladesh Gov
2018 Apr 2,2,April,,,2018,Falcon 9,Yes,Yes,Yes,SLC-40,LEO,"SpX CRS-14 & RRM3, PFCS, ASIM",NASA
2018 Apr,,April,,,2018,Falcon 9,Yes,,,SLC-40,GTO,SES-12,SES (Luxembourg)
2018 Apr,,April,,,2018,Falcon 9,,,,LC-4E,PO,Iridium 6 (5 Satellites) / GRACE-FO 1-2,Iridium Communications / NASA
2018 Q2,,,q2,,2018,Falcon 9,,,,SLC-40,GTO,Telstar 19V,Telesat (Canada)
2018 Q2,,,q2,,2018,Falcon 9,,,,SLC-40,GTO,Telstar 18V (APStar 5C),Telesat (Canada)
2018 May,,May,,,2018,Falcon 9,,,,SLC-40,MEO,GPS IIIA-1,USAF
2018 May,,May,,,2018,Falcon 9,Yes,,,SLC-40,GTO,Telkom-4,Telkom (Indonesia)
2018 Jun 9,9,June,,,2018,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,SpX CRS-15 & ECOSTRESS,NASA
2018 Jun,,June,,,2018,Falcon Heavy,,,,LC-39A,LEO,"STP-2 (DCX, & 34 others)",U.S. Air Force
2018 Jun,,June,,,2018,Falcon 9,Yes,,,LC-4E,PO,Iridium 7 (10 Satellites),Iridium Communications
2018 Jul,,July,,,2018,Falcon 9,,,,LC-4E,PO,Iridium 8 (10 Satellites),Iridium Communications
2018 Aug,,August,,,2018,Falcon 9,,Yes,,LC-39A,LEO,CCtCap Demo Mission 1 (DM-1) (uncrewed),NASA
2018 Aug,,August,,,2018,Falcon 9,Yes,,,LC-4E,SSO,"RADARSAT C-1, C-2, C-3",CSA (Canada)
2018 Sep,,September,,,2018,Falcon 9,,,,LC-4E,SSO,SAOCOM 1A,CONAE (Argentina)
2018 Q3,,,q3,,2018,Falcon Heavy,,,,LC-39A,GTO,ArabSat 6A,ArabSat (Saudi Arabia)
2018 Q3,,,q3,,2018,Falcon 9,,,,LC-4E,SSO,SSO-A,"Spaceflight Industries, Inc"
2018 Q4,,,q4,,2018,Falcon 9,,,,SLC-40,GTO,GTO-1,"Spaceflight Industries, Inc"
2018 Q4,,,q4,,2018,Falcon 9,,,,SLC-40,GTO,PSN-6,Pasifik Satelit Nusantara (Indonesia)
2018 Nov 16,16,Nov,,,2018,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,SpX CRS-16 & IDA-3,NASA
2018 H2,,,,h2,2018,Falcon 9,,,,LC-39A,SO,Crew Dragon In Flight Abort Test,NASA
2018,,,,,2018,Falcon 9,,,,SLC-40,GTO,Es’hail 2,Es’hailSat (Qatar)
2019 Q1,,,q1,,2019,Falcon 9,,Yes,,LC-39A,LEO,CCtCap Demo Mission 2 (DM-2) (crewed),NASA
2019 Feb,,February,,,2019,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,"SpX CRS-17 & OCO 3, STP-H6",NASA
2019 Mar,,March,,,2019,Falcon 9,,,,LC-4E,SSO,SAOCOM 1B,CONAE (Argentina)
2019 Q2,,,q2,,2019,Falcon 9,,,,LC-4E,SSO,SSO-B,"Spaceflight Industries, Inc"
2019 Apr,,April,,,2019,Falcon 9,,Yes,,LC-39A,LEO,USCV-1 (NASA Crew Flight 1),NASA
2019 May,,May,,,2019,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,SpX CRS-18 & GEDI,NASA
2019 Q2,,,q2,,2019,Falcon 9,Yes,,,SLC-40 / BC,GTO,Amos-17,Spacecom (Israel)
2019 H1,,,,h1,2019,Falcon 9,,,,SLC-40,MEO,GPS IIIA-3,USAF
2019 Oct,,October,,,2019,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,"SpX CRS-19 & Bartolomeo, CEPHFISS",NASA
2019 H2,,,,h2,2019,Falcon 9,,,,LC-4E,SSO,SSO-C,"Spaceflight Industries, Inc"
2019 H2,,,,h2,2019,Falcon 9,,,,SLC-40 / BC,GTO,JCSat 18 / Kacific 1,"JSAT Corporation (Japan), Kacific Ltd (Singapore)"
2019 Q4,,,q4,,2019,Falcon 9,,,,SLC-40 / BC,GTO,GTO-2,"Spaceflight Industries, Inc"
2019,,,,,2019,Falcon 9,,,,SLC-40 / BC,GTO,GiSAT-1,Global IP Cayman (Cayman Islands)
2019,,,,,2019,Falcon 9,,,,SLC-40 / BC,GTO,SXM-7,SiriusXM
2019,,,,,2019,Falcon 9,,,,LC-4E,SSO,SARah 1,"OHB-System AG (Bundeswehr, Germany)"
2019,,,,,2019,Falcon 9,,,,LC-4E,SSO,SARah 2/3,"Airbus Defence and Space (Bundeswehr, Germany)"
2020 Jan,,January,,,2020,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,SpX CRS-20 & GEROS,NASA
2020 Jan,,January,,,2020,Falcon 9,,Yes,,LC-39A,LEO,USCV-3 (NASA Crew Flight 2),NASA
2020 H1,,,,h1,2020,Falcon 9,,,,LC-4E,SSO,SSO-D,"Spaceflight Industries, Inc"
2020 H1,,,,h1,2020,Falcon 9,,,,SLC-40 / BC,GTO,GTO-C,"Spaceflight Industries, Inc"
2020 Nov,,November,,,2020,Falcon 9,,,,LC-4E,PO,Sentinel-6A,NASA
2020 Dec,,December,,,2020,Falcon 9,,,,SLC-40,TLI,KPLO (Korea Pathfinder Lunar Orbiter),Korea Aerospace Research Institute (South Korea)
2020 H2,,,,,2020,Falcon 9,,,,SLC-40 / BC,GTO,Amos-8,Spacecom (Israel)
2020,,,,,2020,Falcon 9,,,,SLC-40 / BC,GTO,Turksat 5A,Turksat (Turkey)
2020,,,,,2020,Falcon Heavy,,,,LC-39A / BC,GTO,ViaSat-3,ViaSat
2020,,,,,2020,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-21,NASA
2020,,,,,2020,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-22,NASA
2020,,,,,2020,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-23,NASA
2020,,,,,2020,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-24,NASA
2020,,,,,2020,Falcon 9,,,,SLC-40 / BC,GTO,SXM-8,SiriusXM
2021 Jan,,January,,,2021,Falcon 9,,Yes,,LC-39A,LEO,USCV-5 (NASA Crew Flight 3),NASA
2021 Apr,,April,,,2021,Falcon 9,,,,LC-4E,SSO,SWOT (Surface Water & Ocean Topography),NASA / CNES (France) / CSA (Canada)
2021,,,,,2021,Falcon 9,,,,SLC-40 / BC,GTO,Turksat 5B,Turksat (Turkey)
2021,,,,,2021,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-25,NASA
2021,,,,,2021,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-26,NASA
2021,,,,,2021,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-27,NASA
2022,,,,,2022,Falcon 9,,Yes,,LC-39A,LEO,USCV-7 (NASA Crew Flight 4),NASA
2022,,,,,2022,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-28,NASA
2022,,,,,2022,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-29,NASA
2022,,,,,2022,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-30,NASA
2023,,,,,2023,Falcon 9,,Yes,,LC-39A,LEO,USCV-9 (NASA Crew Flight 5),NASA
2023,,,,,2023,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-31,NASA
2023,,,,,2023,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-32,NASA
2023,,,,,2023,Falcon 9,Yes,Yes,Yes,LC-39A,LEO,CRS-33,NASA
2024,,,,,2024,Falcon 9,,Yes,,LC-39A,LEO,USCV-11 (NASA Crew Flight 6),NASA